location,count,latitude,longitude
Banja Luka,4299,44.7720845,17.1917651
Sarajevo - Novi Grad,2938,43.868149349999996,18.333916770889445
Kiseljak,2233,43.9431668,18.0774711
Tuzla,2230,44.5391105,18.675193
Bijeljina,2229,44.7568464,19.2156628
Zenica,2152,44.199828,17.9093012
Ilidža,2007,43.8306182,18.3077357
Mostar,1944,43.3435855,17.8076584
Visoko,1817,43.9894986,18.1816434
Živinice,1673,44.451574,18.6501306
Sarajevo - Novo Sarajevo,1555,43.8588926,18.3995832
Sarajevo - Centar,1517,43.899231150000006,18.41516109508645
Tešanj,1486,44.6133803,17.9862488
Brčko,1376,44.8771222,18.8095022
Gradačac,1059,44.8781486,18.4254813
Doboj,1056,44.7313612,18.0847183
Prijedor,996,44.9805039,16.7131197
Travnik,924,44.2259454,17.6661738
Gradiška,873,45.1465631,17.2551445
Doboj Jug,826,44.679860700000006,18.057909900538036
Vogošća,801,43.901488,18.3433749
Ljubuški,782,43.1963022,17.5447857
Vitez,764,44.150409,17.791462
Lukavac,743,44.5344136,18.5325309
Široki Brijeg,723,43.3831944,17.5929153
Prnjavor,699,44.8686369,17.6631777
Kakanj,697,44.128571,18.1184071
Sarajevo - Stari Grad,679,43.896662649999996,18.456308322468107
Srebrenik,678,44.7048957,18.4912709
Bihać,663,44.8146563,15.86896
